Code,Borough,Neighborhood,Year,Population,Hectares,Square_Kilometres,Population_per_hectare,Population_per_square_kilometre,address,Latitude,Longitude
E05000490,Newham,Plaistow South,2020,18000,138.6,1.386,129.87012990000002,12987.012990000001,"Plaistow South, Newham, England",51.5311544,0.0166833
E05000226,Greenwich,Plumstead,2020,18129,235.1,2.351,77.11186729,7711.186729000001,"Plumstead, Greenwich, England",51.4804635,0.0924286
E05000467,Merton,Pollards Hill,2020,10783,215.9,2.1590000000000003,49.94441871,4994.441871,"Pollards Hill, Merton, England",51.3989991,-0.1282598
E05000206,Enfield,Ponders End,2020,17607,354.5,3.545,49.66713681,4966.713681,"Ponders End, Enfield, England",51.6428463,-0.0347837
E05000097,Brent,Preston,2020,16250,239.5,2.395,67.84968685,6784.968685,"Preston, Brent, England",51.5762155,-0.2915108
E05000427,Lambeth,Prince's,2020,16865,116.2,1.162,145.1376936,14513.76936,"Prince's, Lambeth, England",0.0,0.0
E05000159,Croydon,Purley,2020,16348,417.3,4.173,39.17565301,3917.5653009999996,"Purley, Croydon, England",51.3385156,-0.115893
E05000395,Kensington and Chelsea,Queen's Gate,2020,9735,60.5,0.605,160.9090909,16090.909090000001,"Queen's Gate, Kensington and Chelsea, England",51.4933656,-0.1785233
E05000642,Westminster,Queen's Park,2020,13914,58.3,0.583,238.6620926,23866.20926,"Queen's Park, Westminster, England",51.529149000000004,-0.20881331988409563
E05000098,Brent,Queens Park,2020,16163,148.9,1.489,108.54936200000002,10854.9362,"Queens Park, Brent, England",51.536046600000006,-0.21122479857057486
E05000245,Hackney,Queensbridge,2020,14974,108.0,1.08,138.6481481,13864.81481,"Queensbridge, Hackney, England",51.54551595,-0.07011244999999991
E05000099,Brent,Queensbury,2020,19653,205.0,2.05,95.86829268,9586.829268000001,"Queensbury, Brent, England",51.5941903,-0.286181
E05000299,Harrow,Queensbury,2020,12509,161.3,1.6130000000000002,77.55114693,7755.114693,"Queensbury, Harrow, England",51.5948401,-0.2928285
E05000620,Wandsworth,Queenstown,2020,24432,320.8,3.208,76.159601,7615.9601,"Queenstown, Wandsworth, England",51.4752161,-0.1462935
E05000318,Havering,Rainham and Wennington,2020,13182,1690.0,16.9,7.8,780.0,"Rainham and Wennington, Havering, England",51.5167284,0.1996559
E05000468,Merton,Ravensbury,2020,10410,183.8,1.838,56.63764962,5663.764961999999,"Ravensbury, Merton, England",51.3977067,-0.157896
E05000261,Hammersmith and Fulham,Ravenscourt Park,2020,10806,122.0,1.22,88.57377049,8857.377048999999,"Ravenscourt Park, Hammersmith and Fulham, England",51.4941293,-0.2357932
E05000300,Harrow,Rayners Lane,2020,11564,153.0,1.53,75.58169935,7558.169934999999,"Rayners Lane, Harrow, England",51.5767143,-0.3703002
E05000469,Merton,Raynes Park,2020,10299,185.3,1.8530000000000002,55.58014031,5558.014031000001,"Raynes Park, Merton, England",51.408966,-0.23054
E05000396,Kensington and Chelsea,Redcliffe,2020,9322,69.4,0.6940000000000001,134.3227666,13432.27666,"Redcliffe, Kensington and Chelsea, England",51.4872401,-0.1834031
E05000142,Camden,Regent's Park,2020,15491,135.0,1.35,114.7481481,11474.81481,"Regent's Park, Camden, England",51.53023185,-0.15393249943541745
E05000643,Westminster,Regent's Park,2020,13709,225.6,2.256,60.76684397,6076.684397,"Regent's Park, Westminster, England",51.5236277,-0.1466357
E05000038,Barking and Dagenham,River,2020,12789,355.2,3.552,36.00506757,3600.506757,"River, Barking and Dagenham, England",51.5541171,0.15050434261994267
E05000548,Southwark,Riverside,2020,17393,133.2,1.3319999999999999,130.5780781,13057.80781,"Riverside, Southwark, England",51.5029222,-0.103458
E05000511,Redbridge,Roding,2020,13098,234.4,2.344,55.87883959,5587.883959000001,"Roding, Redbridge, England",51.6170812,0.0437553
E05000621,Wandsworth,Roehampton and Putney Heath,2020,16112,442.4,4.4239999999999995,36.41952984,3641.9529840000005,"Roehampton and Putney Heath, Wandsworth, England",0.0,0.0
